team,country_code,tournament_year,games_played,goals_for,goals_against,goal_difference,mean_scoring_margin,fifa_rank,fifa_ranking_points,fifa_ranking_date,fifa_country_name,t5league_players,top5_epl_players,top5_bundesliga_players,top5_laliga_players,top5_ligue1_players,top5_seriea_players,fifa_ranking_source_note,t5league_source_note
Turkiye,TUR,2026,3,3,5,-2,-0.6666666666666666,22.0,1605.73,2026-06-11,Turkey,9,2,3,1,0,3,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Sweden,SWE,2026,4,7,10,-3,-0.75,38.0,1509.79,2026-06-11,Sweden,15,8,3,1,0,3,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Austria,AUT,2026,4,6,9,-3,-0.75,24.0,1597.4,2026-06-11,Austria,17,1,14,2,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Bosnia and Herzegovina,BIH,2026,4,5,8,-3,-0.75,64.0,1387.22,2026-06-11,Bosnia and Herzegovina,6,0,3,0,1,2,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Scotland,SCO,2026,3,1,4,-3,-1.0,42.0,1503.34,2026-06-11,Scotland,12,8,0,0,0,4,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Algeria,ALG,2026,4,5,9,-4,-1.0,28.0,1571.03,2026-06-11,Algeria,11,1,4,0,5,1,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Czechia,CZE,2026,3,2,6,-4,-1.3333333333333333,40.0,1505.74,2026-06-11,Czechia,7,2,4,0,1,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Saudi Arabia,KSA,2026,3,1,5,-4,-1.3333333333333333,61.0,1423.88,2026-06-11,Saudi Arabia,1,0,0,0,1,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Panama,PAN,2026,3,0,4,-4,-1.3333333333333333,34.0,1539.16,2026-06-11,Panama,0,0,0,0,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Jordan,JOR,2026,3,3,8,-5,-1.6666666666666667,63.0,1387.74,2026-06-11,Jordan,1,0,0,0,1,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
New Zealand,NZL,2026,3,4,10,-6,-2.0,85.0,1275.58,2026-06-11,New Zealand,1,1,0,0,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Haiti,HAI,2026,3,2,8,-6,-2.0,83.0,1293.1,2026-06-11,Haiti,4,2,0,0,2,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Qatar,QAT,2026,3,2,10,-8,-2.6666666666666665,56.0,1450.31,2026-06-11,Qatar,0,0,0,0,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Curacao,CUW,2026,3,1,9,-8,-2.6666666666666665,82.0,1294.77,2026-06-11,Curacao,0,0,0,0,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Uzbekistan,UZB,2026,3,2,11,-9,-3.0,50.0,1458.73,2026-06-11,Uzbekistan,1,1,0,0,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Tunisia,TUN,2026,3,2,12,-10,-3.3333333333333335,45.0,1476.41,2026-06-11,Tunisia,7,1,3,0,3,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Iraq,IRQ,2026,3,1,12,-11,-3.6666666666666665,57.0,1446.28,2026-06-11,Iraq,0,0,0,0,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
