year,snapshot_date,country,rank,country_code,rating,rank_max,rating_max,rank_avg,rating_avg,rank_min,rating_min,matches_total,matches_home,matches_away,matches_neutral,wins,losses,draws,goals_for,goals_against,confederation,is_host,wc2026_exit_round
2018,12/31/2018,Japan,36,JP,1730,9,1887,64,1442,114,1126,737,287,188,262,340,240,157,1279,918,AFC,0,
2018,12/31/2018,Czechia,37,CZ,1728,1,2032,12,1860,46,1669,802,323,384,95,386,236,180,1488,999,UEFA,0,
2018,12/31/2018,Morocco,37,MA,1728,19,1808,44,1645,86,1510,626,265,209,152,295,154,177,914,562,CAF,0,
2018,12/31/2018,Paraguay,40,PY,1723,5,1956,23,1755,44,1618,712,193,329,190,255,273,184,934,1025,CONMEBOL,0,
2018,12/31/2018,Scotland,41,SQ,1720,1,2104,13,1885,63,1598,786,365,376,45,374,240,172,1372,970,UEFA,0,
2018,12/31/2018,Turkey,44,TR,1690,9,1899,44,1598,77,1358,585,253,264,68,217,230,138,788,862,UEFA,0,
2018,12/31/2018,Norway,45,NO,1678,6,1944,38,1614,85,1364,815,386,381,48,296,339,180,1220,1370,UEFA,0,
2018,12/31/2018,Tunisia,48,TN,1646,24,1757,47,1613,87,1438,674,303,228,143,276,207,191,962,771,CAF,0,
2018,12/31/2018,Ghana,50,GH,1622,10,1877,40,1659,101,1424,702,224,277,201,342,187,173,1152,736,CAF,0,
2018,12/31/2018,Egypt,53,EG,1613,12,1872,36,1664,70,1528,793,318,261,214,394,204,195,1408,863,CAF,0,
2018,12/31/2018,Ivory Coast,56,CI,1603,15,1863,44,1641,76,1476,607,212,221,174,297,149,161,983,632,CAF,0,
2018,12/31/2018,Uzbekistan,59,UZ,1591,25,1766,60,1591,93,1428,277,94,109,74,129,91,57,480,325,AFC,0,
2018,12/31/2018,Saudi Arabia,62,SA,1583,29,1736,77,1489,125,1253,727,290,131,306,348,210,169,1146,791,AFC,0,
2018,12/31/2018,Iraq,63,IQ,1581,24,1740,46,1624,96,1456,661,111,207,343,311,169,181,1073,620,AFC,0,
2018,12/31/2018,Panama,65,PA,1566,28,1753,103,1338,143,1155,486,173,185,128,149,217,120,575,770,CONCACAF,0,
2018,12/31/2018,South Africa,68,ZA,1548,7,1847,29,1718,99,1448,427,214,145,68,186,124,117,590,464,CAF,0,
2018,12/31/2018,Canada,69,CA,1546,25,1733,49,1591,90,1471,399,129,176,94,141,164,94,450,542,CONCACAF,1,
2018,12/31/2018,DR Congo,71,CD,1542,20,1782,60,1561,114,1387,471,147,203,121,194,151,126,749,582,CAF,0,
2018,12/31/2018,Algeria,72,DZ,1541,18,1774,48,1614,110,1386,589,227,214,148,242,188,159,833,632,CAF,0,
2018,12/31/2018,Qatar,77,QA,1522,54,1616,98,1387,164,964,584,278,130,176,236,195,153,816,682,AFC,0,
2018,12/31/2018,Haiti,81,HT,1512,36,1674,81,1409,129,1265,496,176,172,148,213,178,105,818,679,CONCACAF,0,
2018,12/31/2018,New Zealand,82,NZ,1502,29,1642,65,1497,102,1334,391,124,175,92,159,160,72,678,599,OFC,0,
2018,12/31/2018,Jordan,94,JO,1447,40,1676,115,1297,153,1095,479,175,165,139,158,186,135,567,595,AFC,0,
2018,12/31/2018,Cape Verde,106,CV,1399,67,1554,124,1281,146,1172,185,63,69,53,65,80,40,186,216,CAF,0,
2018,12/31/2018,Curaçao,125,CW,1332,26,1618,96,1381,188,1011,438,151,158,129,180,152,106,780,693,CONCACAF,0,
2019,12/31/2019,Belgium,1,BE,2083,1,2083,24,1742,71,1503,803,386,348,69,349,287,167,1443,1290,UEFA,0,
2019,12/31/2019,Brazil,2,BR,2081,1,2195,4,1994,20,1805,997,348,320,329,629,160,208,2162,902,CONMEBOL,0,
2019,12/31/2019,France,3,FR,2046,1,2135,17,1780,40,1514,861,441,319,101,425,258,178,1538,1204,UEFA,0,
2019,12/31/2019,Spain,4,ES,2028,1,2164,7,1938,19,1805,702,307,276,119,412,131,159,1411,637,UEFA,0,
2019,12/31/2019,Netherlands,5,NL,2017,1,2153,15,1840,55,1552,825,391,334,100,420,227,178,1716,1068,UEFA,0,
2019,12/31/2019,Portugal,6,PT,1986,2,2018,20,1783,41,1623,618,288,233,97,297,176,145,1039,720,UEFA,0,
2019,12/31/2019,Colombia,7,CO,1985,3,2034,52,1595,102,1304,577,166,205,206,230,191,156,729,676,CONMEBOL,0,
2019,12/31/2019,Argentina,8,AR,1970,1,2159,5,1982,26,1751,1036,359,398,279,555,223,258,1959,1103,CONMEBOL,0,
2019,12/31/2019,Uruguay,10,UY,1965,1,2104,12,1873,44,1636,950,315,406,229,416,305,229,1519,1198,CONMEBOL,0,
2019,12/31/2019,Germany,11,DE,1964,1,2222,8,1909,25,1637,971,426,390,155,565,208,198,2187,1141,UEFA,0,
2019,12/31/2019,England,12,EN,1955,1,2213,4,1982,17,1810,1081,466,503,112,632,203,246,2550,1071,UEFA,0,
2019,12/31/2019,Croatia,13,HR,1919,5,2008,12,1876,26,1780,323,131,136,56,171,65,87,563,319,UEFA,0,
2019,12/31/2019,Mexico,14,MX,1901,4,1985,20,1780,48,1498,923,277,252,394,480,234,209,1672,963,CONCACAF,1,
2019,12/31/2019,Switzerland,15,CH,1897,9,1931,27,1678,56,1485,820,395,363,62,288,355,177,1204,1392,UEFA,0,
2019,12/31/2019,Sweden,18,SE,1859,2,2013,16,1797,45,1579,1047,456,471,120,511,308,228,2109,1390,UEFA,0,
2019,12/31/2019,Turkey,26,TR,1778,9,1899,44,1599,77,1358,597,260,269,68,226,231,140,810,866,UEFA,0,
2019,12/31/2019,South Korea,27,KR,1772,16,1845,35,1680,84,1445,976,317,240,419,528,207,241,1764,894,AFC,0,
2019,12/31/2019,Senegal,28,SN,1763,21,1808,59,1573,107,1387,622,199,239,184,265,184,173,818,617,CAF,0,
2019,12/31/2019,Japan,29,JP,1744,9,1887,64,1445,114,1126,760,294,192,274,355,245,160,1320,938,AFC,0,
2019,12/31/2019,Algeria,30,DZ,1742,18,1774,48,1614,110,1386,605,232,215,158,254,188,163,863,639,CAF,0,
2019,12/31/2019,Austria,31,AT,1741,1,2070,20,1810,73,1549,795,398,354,43,331,291,173,1429,1247,UEFA,0,
2019,12/31/2019,Iran,32,IR,1739,13,1841,42,1647,79,1450,600,205,174,221,335,122,143,1125,473,AFC,0,
2019,12/31/2019,Paraguay,33,PY,1738,5,1956,23,1755,44,1618,726,195,336,195,258,278,190,948,1041,CONMEBOL,0,
2019,12/31/2019,Czechia,34,CZ,1735,1,2032,13,1859,46,1669,812,329,388,95,391,241,180,1504,1016,UEFA,0,
2019,12/31/2019,Ecuador,37,EC,1725,12,1914,68,1500,121,1183,526,164,185,177,155,239,132,636,845,CONMEBOL,0,
2019,12/31/2019,Norway,38,NO,1722,6,1944,38,1614,85,1364,825,391,386,48,300,340,185,1239,1381,UEFA,0,
2019,12/31/2019,United States,39,US,1720,9,1890,41,1638,92,1412,729,414,238,77,314,261,154,1063,978,CONCACAF,1,
2019,12/31/2019,Australia,40,AU,1713,11,1875,35,1666,77,1469,577,254,207,116,290,167,120,1183,675,AFC,0,
2019,12/31/2019,Bosnia and Herzegovina,43,BA,1683,20,1806,51,1636,81,1500,219,86,107,26,89,83,47,332,292,UEFA,0,
2019,12/31/2019,Qatar,46,QA,1668,26,1771,97,1394,164,964,605,286,133,186,250,200,155,861,696,AFC,0,
2019,12/31/2019,Morocco,47,MA,1659,19,1808,44,1646,86,1510,640,273,211,156,300,158,182,928,573,CAF,0,
2019,12/31/2019,Scotland,50,SQ,1639,1,2104,13,1884,63,1598,796,370,381,45,379,245,172,1388,989,UEFA,0,
2019,12/31/2019,Ghana,51,GH,1630,10,1877,40,1658,101,1424,712,227,278,207,347,188,177,1164,741,CAF,0,
2019,12/31/2019,Iraq,53,IQ,1623,24,1740,46,1624,96,1456,683,119,211,353,323,172,188,1103,635,AFC,0,
2019,12/31/2019,Tunisia,54,TN,1619,24,1757,47,1613,87,1438,691,309,231,151,284,211,196,985,782,CAF,0,
2019,12/31/2019,Ivory Coast,56,CI,1615,15,1863,44,1640,76,1476,622,215,222,185,307,153,162,1009,644,CAF,0,
2019,12/31/2019,Canada,58,CA,1603,25,1733,49,1591,90,1471,409,132,177,100,148,167,94,480,553,CONCACAF,1,
2019,12/31/2019,Egypt,61,EG,1581,12,1872,36,1664,70,1528,805,327,264,214,401,206,198,1421,868,CAF,0,
2019,12/31/2019,Uzbekistan,63,UZ,1580,25,1766,60,1592,93,1428,293,100,113,80,138,96,59,509,340,AFC,0,
2019,12/31/2019,Haiti,67,HT,1557,36,1674,81,1410,129,1265,510,178,176,156,219,183,108,837,696,CONCACAF,0,
2019,12/31/2019,Saudi Arabia,68,SA,1554,29,1736,77,1490,125,1253,747,294,135,318,356,217,174,1173,813,AFC,0,
2019,12/31/2019,South Africa,74,ZA,1531,7,1847,30,1717,99,1448,440,219,147,74,191,128,121,601,475,CAF,0,
2019,12/31/2019,Panama,79,PA,1504,28,1753,103,1340,143,1155,498,175,191,132,152,225,121,587,793,CONCACAF,0,
2019,12/31/2019,DR Congo,81,CD,1502,20,1782,61,1560,114,1387,482,149,206,127,196,154,132,761,595,CAF,0,
2019,12/31/2019,New Zealand,85,NZ,1485,29,1642,65,1497,102,1334,393,124,177,92,159,162,72,679,603,OFC,0,
2019,12/31/2019,Jordan,87,JO,1477,40,1676,115,1300,153,1095,498,182,169,147,166,192,140,595,614,AFC,0,
2019,12/31/2019,Curaçao,102,CW,1412,26,1618,96,1381,188,1011,449,153,162,134,183,156,110,790,703,CONCACAF,0,
2019,12/31/2019,Cape Verde,106,CV,1401,67,1554,124,1283,146,1172,189,65,70,54,66,80,43,190,219,CAF,0,
2020,12/31/2020,Brazil,1,BR,2135,1,2195,4,1995,20,1805,1001,350,322,329,633,160,208,2174,904,CONMEBOL,0,
2020,12/31/2020,Belgium,2,BE,2110,1,2110,24,1745,71,1503,811,391,351,69,355,288,168,1462,1298,UEFA,0,
2020,12/31/2020,France,3,FR,2091,1,2135,16,1782,40,1514,869,446,322,101,431,259,179,1557,1212,UEFA,0,
2020,12/31/2020,Spain,4,ES,2050,1,2164,7,1939,19,1805,710,310,281,119,415,132,163,1425,641,UEFA,0,
2020,12/31/2020,Portugal,5,PT,2038,2,2046,20,1785,41,1623,626,293,236,97,302,177,147,1058,724,UEFA,0,
2020,12/31/2020,Netherlands,7,NL,1994,1,2153,15,1842,55,1552,833,396,337,100,423,229,181,1724,1074,UEFA,0,
2020,12/31/2020,Argentina,7,AR,1994,1,2159,5,1981,26,1751,1040,361,400,279,558,223,259,1965,1105,CONMEBOL,0,
2020,12/31/2020,England,9,EN,1961,1,2213,4,1982,17,1810,1089,471,506,112,637,205,247,2563,1075,UEFA,0,
2020,12/31/2020,Germany,10,DE,1955,1,2222,8,1909,25,1637,979,431,393,155,568,209,202,2201,1157,UEFA,0,
2020,12/31/2020,Uruguay,11,UY,1952,1,2104,12,1874,44,1636,954,317,408,229,418,307,229,1526,1205,CONMEBOL,0,
2020,12/31/2020,Mexico,12,MX,1928,4,1985,20,1781,48,1498,928,278,253,397,484,234,210,1683,967,CONCACAF,1,
2020,12/31/2020,Colombia,14,CO,1896,3,2034,51,1599,102,1304,581,168,207,206,231,193,157,735,687,CONMEBOL,0,
2020,12/31/2020,Switzerland,15,CH,1870,9,1931,27,1680,56,1485,827,398,367,62,288,359,180,1212,1404,UEFA,0,
2020,12/31/2020,Croatia,16,HR,1859,5,2008,12,1876,26,1780,331,134,141,56,173,70,88,577,339,UEFA,0,
2020,12/31/2020,Ecuador,19,EC,1825,12,1914,67,1503,121,1183,530,166,187,177,158,240,132,649,851,CONMEBOL,0,
2020,12/31/2020,Sweden,20,SE,1820,2,2013,16,1797,45,1579,1057,459,476,122,515,314,228,2118,1406,UEFA,0,
2020,12/31/2020,Austria,26,AT,1786,1,2070,20,1810,73,1549,803,402,358,43,337,292,174,1443,1254,UEFA,0,
2020,12/31/2020,South Korea,27,KR,1773,16,1845,35,1682,84,1445,978,317,240,421,529,208,241,1768,898,AFC,0,
2020,12/31/2020,Paraguay,28,PY,1769,5,1956,23,1755,44,1618,730,197,338,195,259,278,193,954,1046,CONMEBOL,0,
2020,12/31/2020,Norway,29,NO,1763,6,1944,38,1615,85,1364,831,395,388,48,303,342,186,1252,1387,UEFA,0,
2020,12/31/2020,Iran,29,IR,1763,13,1841,42,1648,79,1450,602,205,176,221,337,122,143,1129,474,AFC,0,
2020,12/31/2020,Czechia,31,CZ,1760,1,2032,13,1858,46,1669,820,332,393,95,396,244,180,1515,1023,UEFA,0,
2020,12/31/2020,Senegal,32,SN,1755,21,1808,58,1576,107,1387,625,200,241,184,267,185,173,822,620,CAF,0,
2020,12/31/2020,Turkey,33,TR,1752,9,1899,43,1601,77,1358,605,264,273,68,227,233,145,822,880,UEFA,0,
2020,12/31/2020,Algeria,34,DZ,1747,18,1774,48,1616,110,1386,609,233,216,160,256,188,165,871,644,CAF,0,
2020,12/31/2020,United States,35,US,1745,9,1890,41,1639,92,1412,733,416,239,78,317,261,155,1076,980,CONCACAF,1,
2020,12/31/2020,Japan,36,JP,1744,9,1887,64,1448,114,1126,764,294,192,278,357,246,161,1322,940,AFC,0,
2020,12/31/2020,Australia,39,AU,1713,11,1875,35,1666,77,1469,577,254,207,116,290,167,120,1183,675,AFC,0,
2020,12/31/2020,Morocco,41,MA,1681,19,1808,44,1646,86,1510,644,276,211,157,303,158,183,938,576,CAF,0,
2020,12/31/2020,Scotland,45,SQ,1659,1,2104,13,1882,63,1598,804,374,385,45,382,247,175,1394,994,UEFA,0,
2020,12/31/2020,Qatar,47,QA,1638,26,1771,96,1399,164,964,609,287,133,189,251,202,156,869,704,AFC,0,
2020,12/31/2020,Bosnia and Herzegovina,48,BA,1634,20,1806,50,1638,81,1500,227,91,110,26,89,88,50,336,306,UEFA,0,
2020,12/31/2020,Iraq,51,IQ,1627,24,1740,46,1624,96,1456,685,119,211,355,324,172,189,1105,636,AFC,0,
2020,12/31/2020,Ivory Coast,54,CI,1617,15,1863,44,1640,76,1476,626,216,224,186,308,154,164,1013,648,CAF,0,
2020,12/31/2020,Tunisia,55,TN,1615,24,1757,47,1613,87,1438,695,311,232,152,286,211,198,991,784,CAF,0,
2020,12/31/2020,Ghana,58,GH,1603,10,1877,40,1658,101,1424,716,228,279,209,349,190,177,1171,746,CAF,0,
2020,12/31/2020,Egypt,59,EG,1601,12,1872,36,1663,70,1528,807,328,265,214,403,206,198,1425,869,CAF,0,
2020,12/31/2020,Canada,60,CA,1599,25,1733,49,1591,90,1471,412,132,177,103,150,168,94,488,556,CONCACAF,1,
2020,12/31/2020,Haiti,68,HT,1557,36,1674,81,1412,129,1265,510,178,176,156,219,183,108,837,696,CONCACAF,0,
2020,12/31/2020,Saudi Arabia,70,SA,1555,29,1736,77,1491,125,1253,749,296,135,318,357,218,174,1177,815,AFC,0,
2020,12/31/2020,Uzbekistan,71,UZ,1552,25,1766,60,1591,93,1428,299,102,114,83,140,100,59,515,348,AFC,0,
2020,12/31/2020,Panama,73,PA,1534,28,1753,103,1342,143,1155,504,175,195,134,155,227,122,593,800,CONCACAF,0,
2020,12/31/2020,South Africa,76,ZA,1515,7,1847,30,1715,99,1448,444,223,147,74,193,129,122,609,480,CAF,0,
2020,12/31/2020,DR Congo,80,CD,1500,20,1782,61,1560,114,1387,486,150,208,128,197,155,134,763,599,CAF,0,
2020,12/31/2020,Jordan,82,JO,1491,40,1676,115,1303,153,1095,500,182,169,149,167,192,141,596,614,AFC,0,
2020,12/31/2020,New Zealand,86,NZ,1485,29,1642,66,1497,102,1334,393,124,177,92,159,162,72,679,603,OFC,0,
2020,12/31/2020,Curaçao,101,CW,1412,26,1618,96,1381,188,1011,449,153,162,134,183,156,110,790,703,CONCACAF,0,
2020,12/31/2020,Cape Verde,106,CV,1384,67,1554,124,1285,146,1172,193,66,72,55,67,81,45,193,222,CAF,0,
2021,12/31/2021,Brazil,1,BR,2149,1,2195,4,1996,20,1805,1017,361,327,329,645,161,211,2201,909,CONMEBOL,0,
2021,12/31/2021,France,2,FR,2114,1,2135,16,1785,40,1514,885,452,328,105,441,259,185,1593,1224,UEFA,0,
2021,12/31/2021,Argentina,3,AR,2101,1,2159,5,1982,26,1751,1056,366,405,285,568,223,265,1991,1112,CONMEBOL,0,
2021,12/31/2021,Belgium,4,BE,2074,1,2157,24,1748,71,1503,828,397,357,74,366,291,171,1501,1313,UEFA,0,
2021,12/31/2021,Spain,5,ES,2036,1,2164,7,1940,19,1805,728,319,286,123,425,134,169,1460,655,UEFA,0,
2021,12/31/2021,England,6,EN,2031,1,2213,4,1982,17,1810,1108,484,511,113,652,205,251,2615,1080,UEFA,0,
2021,12/31/2021,Portugal,8,PT,1972,2,2060,19,1788,41,1623,642,298,243,101,311,180,151,1092,738,UEFA,0,
2021,12/31/2021,Germany,9,DE,1962,1,2222,8,1909,25,1637,995,440,398,157,579,212,204,2251,1170,UEFA,0,
2021,12/31/2021,Switzerland,11,CH,1933,9,1933,27,1682,56,1485,844,406,372,66,298,360,186,1249,1419,UEFA,0,
2021,12/31/2021,Netherlands,12,NL,1929,1,2153,15,1843,55,1552,849,405,342,102,434,231,184,1770,1088,UEFA,0,
2021,12/31/2021,Colombia,13,CO,1904,3,2034,51,1603,102,1304,598,173,213,212,235,196,167,752,700,CONMEBOL,0,
2021,12/31/2021,Croatia,14,HR,1858,5,2008,12,1876,26,1780,347,140,149,58,181,74,92,606,353,UEFA,0,
2021,12/31/2021,United States,14,US,1858,9,1890,41,1641,92,1412,755,431,245,79,334,263,158,1122,992,CONCACAF,1,
2021,12/31/2021,Ecuador,16,EC,1848,12,1914,67,1507,121,1183,548,172,193,183,164,246,138,670,871,CONMEBOL,0,
2021,12/31/2021,Uruguay,17,UY,1847,1,2104,12,1874,44,1636,969,322,413,234,422,312,235,1537,1221,CONMEBOL,0,
2021,12/31/2021,Mexico,19,MX,1839,4,1985,20,1783,48,1498,952,281,261,410,496,240,216,1719,986,CONCACAF,1,
2021,12/31/2021,Iran,20,IR,1837,13,1841,41,1650,79,1450,613,208,179,226,347,122,144,1160,477,AFC,0,
2021,12/31/2021,Czechia,23,CZ,1833,1,2032,13,1857,46,1669,837,339,398,100,404,249,184,1546,1042,UEFA,0,
2021,12/31/2021,Sweden,24,SE,1821,2,2013,16,1798,45,1579,1073,467,481,125,526,318,229,2143,1418,UEFA,0,
2021,12/31/2021,Algeria,26,DZ,1799,18,1799,48,1617,110,1386,629,240,220,169,271,188,170,934,658,CAF,0,
2021,12/31/2021,South Korea,28,KR,1788,16,1845,35,1683,84,1445,988,324,242,422,536,209,243,1788,904,AFC,0,
2021,12/31/2021,Canada,29,CA,1784,25,1784,49,1592,90,1471,431,137,182,112,163,170,98,543,567,CONCACAF,1,
2021,12/31/2021,Morocco,31,MA,1764,19,1808,44,1647,86,1510,658,285,212,161,315,158,185,972,579,CAF,0,
2021,12/31/2021,Japan,33,JP,1760,9,1887,63,1451,114,1126,776,302,195,279,367,248,161,1364,945,AFC,0,
2021,12/31/2021,Australia,34,AU,1734,11,1875,35,1667,77,1469,587,255,210,122,297,168,122,1204,680,AFC,0,
2021,12/31/2021,Norway,35,NO,1733,6,1944,38,1617,85,1364,843,399,393,51,309,345,189,1269,1397,UEFA,0,
2021,12/31/2021,Austria,36,AT,1730,1,2070,20,1809,73,1549,819,408,365,46,344,299,176,1467,1277,UEFA,0,
2021,12/31/2021,Paraguay,37,PY,1729,5,1956,23,1755,44,1618,745,202,343,200,262,285,198,965,1065,CONMEBOL,0,
2021,12/31/2021,Scotland,38,SQ,1728,1,2104,14,1881,63,1598,819,381,392,46,390,250,179,1415,1008,UEFA,0,
2021,12/31/2021,Turkey,39,TR,1726,9,1899,43,1602,77,1358,621,271,278,72,235,237,149,854,905,UEFA,0,
2021,12/31/2021,Senegal,42,SN,1702,21,1808,58,1579,107,1387,641,206,245,190,277,186,178,851,632,CAF,0,
2021,12/31/2021,Qatar,49,QA,1663,26,1771,95,1404,164,964,633,295,139,199,263,209,161,904,736,AFC,0,
2021,12/31/2021,Egypt,50,EG,1658,12,1872,36,1662,70,1528,822,333,270,219,412,207,203,1452,877,CAF,0,
2021,12/31/2021,Ivory Coast,51,CI,1646,15,1863,45,1640,76,1476,636,219,228,189,315,155,166,1031,653,CAF,0,
2021,12/31/2021,Tunisia,53,TN,1638,24,1757,47,1614,87,1438,712,318,236,158,298,215,199,1020,797,CAF,0,
2021,12/31/2021,Saudi Arabia,56,SA,1628,29,1736,77,1493,125,1253,763,304,138,321,367,220,176,1202,821,AFC,0,
2021,12/31/2021,Panama,57,PA,1627,28,1753,102,1345,143,1155,523,183,200,140,165,231,127,633,821,CONCACAF,0,
2021,12/31/2021,Ghana,63,GH,1600,10,1877,40,1657,101,1424,726,233,283,210,354,192,180,1182,752,CAF,0,
2021,12/31/2021,Bosnia and Herzegovina,63,BA,1600,20,1806,50,1637,81,1500,240,98,116,26,91,93,56,346,321,UEFA,0,
2021,12/31/2021,Iraq,68,IQ,1551,24,1740,46,1624,96,1456,702,122,216,364,329,176,197,1123,654,AFC,0,
2021,12/31/2021,South Africa,70,ZA,1548,7,1847,30,1713,99,1448,459,234,151,74,202,131,126,628,487,CAF,0,
2021,12/31/2021,Jordan,72,JO,1529,40,1676,114,1306,153,1095,521,184,175,162,177,200,144,624,637,AFC,0,
2021,12/31/2021,New Zealand,73,NZ,1528,29,1642,66,1497,102,1334,396,124,178,94,162,162,72,684,604,OFC,0,
2021,12/31/2021,Haiti,74,HT,1526,36,1674,81,1413,129,1265,522,181,179,162,226,188,108,866,714,CONCACAF,0,
2021,12/31/2021,Uzbekistan,76,UZ,1524,25,1766,60,1589,93,1428,310,104,118,88,146,105,59,535,361,AFC,0,
2021,12/31/2021,DR Congo,79,CD,1509,20,1782,61,1558,114,1387,496,154,213,129,201,158,137,774,607,CAF,0,
2021,12/31/2021,Cape Verde,87,CV,1467,67,1554,123,1287,146,1172,202,70,75,57,72,83,47,205,231,CAF,0,
2021,12/31/2021,Curaçao,100,CW,1404,26,1618,96,1382,188,1011,459,158,164,137,188,159,112,815,713,CONCACAF,0,
2022,12/31/2022,Argentina,1,AR,2144,1,2159,5,1983,26,1751,1072,368,408,296,580,224,268,2032,1122,CONMEBOL,0,
2022,12/31/2022,Brazil,2,BR,2133,1,2195,4,1997,20,1805,1030,363,331,336,655,162,213,2236,915,CONMEBOL,0,
2022,12/31/2022,France,3,FR,2081,1,2135,16,1787,40,1514,900,457,331,112,449,263,188,1621,1240,UEFA,0,
2022,12/31/2022,Netherlands,4,NL,2073,1,2153,15,1844,55,1552,862,410,346,106,443,231,188,1799,1101,UEFA,0,
2022,12/31/2022,Portugal,5,PT,1998,2,2060,19,1790,41,1623,656,304,246,106,320,184,152,1124,748,UEFA,0,
2022,12/31/2022,Spain,6,ES,1996,1,2164,7,1941,19,1805,741,324,290,127,432,136,173,1487,665,UEFA,0,
2022,12/31/2022,England,8,EN,1966,1,2213,4,1982,17,1810,1121,489,514,118,657,209,255,2637,1095,UEFA,0,
2022,12/31/2022,Germany,9,DE,1955,1,2222,8,1910,25,1637,1007,444,403,160,583,214,210,2272,1185,UEFA,0,
2022,12/31/2022,Croatia,10,HR,1950,5,2008,13,1876,28,1780,363,143,153,67,189,76,98,626,368,UEFA,0,
2022,12/31/2022,Belgium,11,BE,1947,1,2157,24,1750,71,1503,840,401,361,78,371,295,174,1519,1327,UEFA,0,
2022,12/31/2022,Colombia,12,CO,1919,3,2034,50,1606,102,1304,607,175,215,217,242,198,167,768,706,CONMEBOL,0,
2022,12/31/2022,Uruguay,13,UY,1904,1,2104,12,1875,44,1636,981,325,416,240,430,314,237,1557,1225,CONMEBOL,0,
2022,12/31/2022,Switzerland,15,CH,1878,9,1933,27,1684,56,1485,857,410,376,71,303,367,187,1262,1442,UEFA,0,
2022,12/31/2022,Morocco,16,MA,1866,11,1923,44,1649,86,1510,679,289,214,176,327,162,190,1001,595,CAF,0,
2022,12/31/2022,Japan,17,JP,1851,9,1887,63,1454,114,1126,794,312,196,286,377,252,165,1396,958,AFC,0,
2022,12/31/2022,Ecuador,19,EC,1841,12,1914,66,1511,121,1183,561,174,196,191,167,248,146,680,880,CONMEBOL,0,
2022,12/31/2022,United States,23,US,1817,9,1890,40,1642,92,1412,771,437,249,85,340,267,164,1143,1004,CONCACAF,1,
2022,12/31/2022,Mexico,24,MX,1812,4,1985,20,1783,48,1498,972,286,264,422,505,245,222,1741,1001,CONCACAF,1,
