team,country_code,fifa_rank,fifa_ranking_points,fifa_ranking_date,fifa_country_name,t5league_players,top5_epl_players,top5_bundesliga_players,top5_laliga_players,top5_ligue1_players,top5_seriea_players,fifa_ranking_source_note,t5league_source_note
Curacao,CUW,87.0,1272.71,2024-06-20,Curacao,0,0,0,0,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Czechia,CZE,34.0,1506.23,2024-06-20,Czechia,7,2,4,0,1,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
DR Congo,COD,61.0,1400.93,2024-06-20,Congo DR,10,4,0,2,4,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Ecuador,ECU,30.0,1517.54,2024-06-20,Ecuador,6,3,1,0,1,1,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Egypt,EGY,36.0,1502.34,2024-06-20,Egypt,4,2,0,1,1,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
England,ENG,5.0,1787.88,2024-06-20,England,26,21,2,3,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
France,FRA,2.0,1837.47,2024-06-20,France,24,7,2,3,8,4,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Germany,GER,16.0,1646.78,2024-06-20,Germany,26,5,20,1,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Ghana,GHA,64.0,1381.25,2024-06-20,Ghana,12,1,1,4,6,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Haiti,HAI,86.0,1274.46,2024-06-20,Haiti,4,2,0,0,2,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Iran,IRN,20.0,1611.16,2024-06-20,IR Iran,0,0,0,0,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Iraq,IRQ,55.0,1433.07,2024-06-20,Iraq,0,0,0,0,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Ivory Coast,CIV,37.0,1499.69,2024-06-20,Côte d'Ivoire,13,3,2,1,4,3,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Japan,JPN,17.0,1628.81,2024-06-20,Japan,13,3,7,1,1,1,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Jordan,JOR,68.0,1374.13,2024-06-20,Jordan,1,0,0,0,1,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Mexico,MEX,15.0,1652.33,2024-06-20,Mexico,6,2,0,2,0,2,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Morocco,MAR,12.0,1669.44,2024-06-20,Morocco,17,4,2,4,6,1,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Netherlands,NED,7.0,1746.66,2024-06-20,Netherlands,23,16,1,1,1,4,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
New Zealand,NZL,107.0,1197.68,2024-06-20,New Zealand,1,1,0,0,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Norway,NOR,46.0,1466.48,2024-06-20,Norway,17,7,3,2,0,5,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Panama,PAN,43.0,1482.1,2024-06-20,Panama,0,0,0,0,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Paraguay,PAR,58.0,1427.11,2024-06-20,Paraguay,4,2,0,0,1,1,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Portugal,POR,6.0,1747.04,2024-06-20,Portugal,17,7,0,4,4,2,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Qatar,QAT,35.0,1504.06,2024-06-20,Qatar,0,0,0,0,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Saudi Arabia,KSA,56.0,1431.3,2024-06-20,Saudi Arabia,1,0,0,0,1,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Scotland,SCO,39.0,1497.18,2024-06-20,Scotland,12,8,0,0,0,4,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Senegal,SEN,18.0,1623.34,2024-06-20,Senegal,20,7,2,2,8,1,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
South Africa,RSA,59.0,1416.66,2024-06-20,South Africa,1,1,0,0,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
South Korea,KOR,22.0,1572.87,2024-06-20,Korea Republic,5,1,3,0,1,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Spain,ESP,8.0,1729.92,2024-06-20,Spain,26,7,1,17,1,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Sweden,SWE,28.0,1522.19,2024-06-20,Sweden,15,8,3,1,0,3,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Switzerland,SUI,19.0,1617.24,2024-06-20,Switzerland,23,4,8,4,3,4,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Tunisia,TUN,41.0,1494.06,2024-06-20,Tunisia,7,1,3,0,3,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Turkiye,TUR,42.0,1493.38,2024-06-20,Turkey,9,2,3,1,0,3,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
United States,USA,11.0,1676.52,2024-06-20,USA,13,4,3,1,3,2,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Uruguay,URU,14.0,1663.44,2024-06-20,Uruguay,8,3,0,4,0,1,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Uzbekistan,UZB,62.0,1397.41,2024-06-20,Uzbekistan,1,1,0,0,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
