team,country_code,tournament_year,games_played,goals_for,goals_against,goal_difference,mean_scoring_margin,fifa_rank,fifa_ranking_points,fifa_ranking_date,fifa_country_name,t5league_players,top5_epl_players,top5_bundesliga_players,top5_laliga_players,top5_ligue1_players,top5_seriea_players,fifa_ranking_source_note,t5league_source_note
Norway,NOR,2026,6,13,11,2,0.3333333333333333,46.0,1466.48,2024-06-20,Norway,17,7,3,2,0,5,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Senegal,SEN,2026,4,10,9,1,0.25,18.0,1623.34,2024-06-20,Senegal,20,7,2,2,8,1,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Ivory Coast,CIV,2026,4,5,4,1,0.25,37.0,1499.69,2024-06-20,Côte d'Ivoire,13,3,2,1,4,3,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Egypt,EGY,2026,5,8,7,1,0.2,36.0,1502.34,2024-06-20,Egypt,4,2,0,1,1,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
DR Congo,COD,2026,4,5,5,0,0.0,61.0,1400.93,2024-06-20,Congo DR,10,4,0,2,4,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Australia,AUS,2026,4,3,3,0,0.0,23.0,1571.29,2024-06-20,Australia,5,0,2,1,0,2,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Iran,IRN,2026,3,3,3,0,0.0,20.0,1611.16,2024-06-20,IR Iran,0,0,0,0,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Croatia,CRO,2026,4,6,7,-1,-0.25,9.0,1728.3,2024-06-20,Croatia,17,2,5,3,0,7,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Cape Verde,CPV,2026,4,4,5,-1,-0.25,65.0,1380.53,2024-06-20,Cabo Verde,1,0,0,1,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Ghana,GHA,2026,4,2,3,-1,-0.25,64.0,1381.25,2024-06-20,Ghana,12,1,1,4,6,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Uruguay,URU,2026,3,3,4,-1,-0.3333333333333333,14.0,1663.44,2024-06-20,Uruguay,8,3,0,4,0,1,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
South Korea,KOR,2026,3,2,3,-1,-0.3333333333333333,22.0,1572.87,2024-06-20,Korea Republic,5,1,3,0,1,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Ecuador,ECU,2026,4,2,4,-2,-0.5,30.0,1517.54,2024-06-20,Ecuador,6,3,1,0,1,1,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
South Africa,RSA,2026,4,2,4,-2,-0.5,59.0,1416.66,2024-06-20,South Africa,1,1,0,0,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Paraguay,PAR,2026,5,3,6,-3,-0.6,58.0,1427.11,2024-06-20,Paraguay,4,2,0,0,1,1,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Turkiye,TUR,2026,3,3,5,-2,-0.6666666666666666,42.0,1493.38,2024-06-20,Turkey,9,2,3,1,0,3,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Sweden,SWE,2026,4,7,10,-3,-0.75,28.0,1522.19,2024-06-20,Sweden,15,8,3,1,0,3,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Austria,AUT,2026,4,6,9,-3,-0.75,25.0,1560.03,2024-06-20,Austria,17,1,14,2,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Bosnia and Herzegovina,BIH,2026,4,5,8,-3,-0.75,75.0,1332.3,2024-06-20,Bosnia and Herzegovina,6,0,3,0,1,2,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Scotland,SCO,2026,3,1,4,-3,-1.0,39.0,1497.18,2024-06-20,Scotland,12,8,0,0,0,4,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Algeria,ALG,2026,4,5,9,-4,-1.0,44.0,1474.13,2024-06-20,Algeria,11,1,4,0,5,1,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Czechia,CZE,2026,3,2,6,-4,-1.3333333333333333,34.0,1506.23,2024-06-20,Czechia,7,2,4,0,1,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Saudi Arabia,KSA,2026,3,1,5,-4,-1.3333333333333333,56.0,1431.3,2024-06-20,Saudi Arabia,1,0,0,0,1,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Panama,PAN,2026,3,0,4,-4,-1.3333333333333333,43.0,1482.1,2024-06-20,Panama,0,0,0,0,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Jordan,JOR,2026,3,3,8,-5,-1.6666666666666667,68.0,1374.13,2024-06-20,Jordan,1,0,0,0,1,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
New Zealand,NZL,2026,3,4,10,-6,-2.0,107.0,1197.68,2024-06-20,New Zealand,1,1,0,0,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Haiti,HAI,2026,3,2,8,-6,-2.0,86.0,1274.46,2024-06-20,Haiti,4,2,0,0,2,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Qatar,QAT,2026,3,2,10,-8,-2.6666666666666665,35.0,1504.06,2024-06-20,Qatar,0,0,0,0,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Curacao,CUW,2026,3,1,9,-8,-2.6666666666666665,87.0,1272.71,2024-06-20,Curacao,0,0,0,0,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Uzbekistan,UZB,2026,3,2,11,-9,-3.0,62.0,1397.41,2024-06-20,Uzbekistan,1,1,0,0,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Tunisia,TUN,2026,3,2,12,-10,-3.3333333333333335,41.0,1494.06,2024-06-20,Tunisia,7,1,3,0,3,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Iraq,IRQ,2026,3,1,12,-11,-3.6666666666666665,55.0,1433.07,2024-06-20,Iraq,0,0,0,0,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
