team,country_code,fifa_rank,fifa_ranking_points,fifa_ranking_date,fifa_country_name,t5league_players,top5_epl_players,top5_bundesliga_players,top5_laliga_players,top5_ligue1_players,top5_seriea_players,fifa_ranking_source_note,t5league_source_note
Ecuador,ECU,23.0,1598.52,2026-06-11,Ecuador,6,3,1,0,1,1,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Egypt,EGY,29.0,1562.37,2026-06-11,Egypt,4,2,0,1,1,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
England,ENG,4.0,1828.02,2026-06-11,England,26,21,2,3,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
France,FRA,3.0,1870.7,2026-06-11,France,24,7,2,3,8,4,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Germany,GER,10.0,1735.77,2026-06-11,Germany,26,5,20,1,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Ghana,GHA,73.0,1346.88,2026-06-11,Ghana,12,1,1,4,6,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Haiti,HAI,83.0,1293.1,2026-06-11,Haiti,4,2,0,0,2,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Iran,IRN,20.0,1619.58,2026-06-11,IR Iran,0,0,0,0,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Iraq,IRQ,57.0,1446.28,2026-06-11,Iraq,0,0,0,0,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Ivory Coast,CIV,33.0,1540.87,2026-06-11,Côte d'Ivoire,13,3,2,1,4,3,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Japan,JPN,18.0,1661.58,2026-06-11,Japan,13,3,7,1,1,1,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Jordan,JOR,63.0,1387.74,2026-06-11,Jordan,1,0,0,0,1,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Mexico,MEX,14.0,1687.48,2026-06-11,Mexico,6,2,0,2,0,2,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Morocco,MAR,7.0,1755.1,2026-06-11,Morocco,17,4,2,4,6,1,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Netherlands,NED,8.0,1753.57,2026-06-11,Netherlands,23,16,1,1,1,4,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
New Zealand,NZL,85.0,1275.58,2026-06-11,New Zealand,1,1,0,0,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Norway,NOR,31.0,1557.44,2026-06-11,Norway,17,7,3,2,0,5,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Panama,PAN,34.0,1539.16,2026-06-11,Panama,0,0,0,0,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Paraguay,PAR,41.0,1505.35,2026-06-11,Paraguay,4,2,0,0,1,1,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Portugal,POR,5.0,1767.85,2026-06-11,Portugal,17,7,0,4,4,2,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Qatar,QAT,56.0,1450.31,2026-06-11,Qatar,0,0,0,0,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Saudi Arabia,KSA,61.0,1423.88,2026-06-11,Saudi Arabia,1,0,0,0,1,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Scotland,SCO,42.0,1503.34,2026-06-11,Scotland,12,8,0,0,0,4,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Senegal,SEN,15.0,1684.07,2026-06-11,Senegal,20,7,2,2,8,1,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
South Africa,RSA,60.0,1428.38,2026-06-11,South Africa,1,1,0,0,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
South Korea,KOR,25.0,1591.63,2026-06-11,Korea Republic,5,1,3,0,1,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Spain,ESP,2.0,1874.71,2026-06-11,Spain,26,7,1,17,1,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Sweden,SWE,38.0,1509.79,2026-06-11,Sweden,15,8,3,1,0,3,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Switzerland,SUI,19.0,1650.06,2026-06-11,Switzerland,23,4,8,4,3,4,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Tunisia,TUN,45.0,1476.41,2026-06-11,Tunisia,7,1,3,0,3,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Turkiye,TUR,22.0,1605.73,2026-06-11,Turkey,9,2,3,1,0,3,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
United States,USA,17.0,1671.23,2026-06-11,USA,13,4,3,1,3,2,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Uruguay,URU,16.0,1673.07,2026-06-11,Uruguay,8,3,0,4,0,1,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Uzbekistan,UZB,50.0,1458.73,2026-06-11,Uzbekistan,1,1,0,0,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
